umap_x	umap_y	Centroid X µm	Centroid Y µm	Combined_Cluster
-16359.477771293317	-984.636131664676	8395.9	7508.7	Immune
-21893.8501875066	-1820.9465852541655	8414.9	7509.3	Immune
338.8084336963366	-1149.6907148724763	8815.4	7510.7	Stroma
60706.13366107397	-3772.2499955132726	8587.9	7517.1	Stroma
65293.57718072676	3988.3724218659972	8679.9	7517.0	Stroma
-9971.040918363473	-707.5554623553994	8706.5	7513.0	Stroma
2390.881762095145	-803.6143956406584	8771.8	7513.5	Stroma
20803.86057876474	-2203.8485679740234	8616.3	7516.7	Stroma
-16456.884590950147	-205.27101076972986	8600.7	7512.5	Immune
-8915.884198988853	666.4036206256947	8455.4	7514.8	Stroma
-23959.29256847701	-656.0650278501253	8697.6	7513.5	Immune
12962.53596789782	103.52610082134288	8425.9	7518.3	Stroma
-18571.376279611242	-292.07190173497384	8731.3	7511.9	Stroma
-926.4090644792741	-386.3857371349475	8435.8	7515.5	Immune
-9014.107402626476	629.0611456427591	8667.4	7515.4	Stroma
-22721.75659180856	-1824.8843281127276	8821.0	7516.6	Stroma
-7721.325275334548	-1182.5576340994667	8578.3	7517.0	Stroma
-26637.940991271375	322.5124519576216	8746.5	7514.0	Stroma
-13262.30970041965	-2167.0305814945345	8392.7	7518.0	Immune
56602.665491188935	-857.1604707451272	8405.0	7518.6	Stroma
-8610.173750169102	-1831.033716650522	8417.5	7518.7	Immune
22621.478830653898	-2148.2796360610487	8564.5	7519.4	Stroma
19809.395912240885	2810.5448385684776	8743.1	7521.5	Stroma
-24264.031305161167	-1849.9479323232263	8636.8	7521.1	Stroma
-5919.361826851411	-1518.972182864045	8788.8	7519.6	Stroma
85496.02833963107	-1070.5793116058458	8485.8	7524.8	Immune
20957.99058098314	2988.1260122370086	8702.9	7523.5	Stroma
-1660.2015857024962	-642.0501556634908	8714.2	7523.9	Immune
-8028.0998229502	-1799.0642200317616	8440.9	7521.6	Stroma
-12939.037091583505	-523.8154628118707	8732.5	7520.2	Stroma
-21279.795791112145	1238.5246016373972	8750.8	7520.9	Stroma
-13051.097460846566	-19.45934307890866	8757.5	7525.4	Stroma
-16085.160596418988	-898.608559084227	8774.8	7524.1	Stroma
14301.816502188383	-60.91486677578314	8728.9	7526.1	Stroma
-3673.158605731551	-80.87954487948309	8779.9	7528.3	Stroma
-17335.957306570548	-1650.1509236135846	8822.1	7526.2	Stroma
-11095.476178796675	155.1814363479025	8688.5	7523.7	Immune
-20433.053005166952	-667.2090344778705	8694.8	7524.0	Immune
5450.9907594958495	337.90547532229994	8398.0	7528.1	Stroma
-5760.789393892708	-2278.878343532228	8617.8	7529.3	Stroma
-15650.332752639533	299.82321986965735	8769.6	7530.7	Immune
8328.378240626407	-354.99036937789947	8787.9	7531.0	Stroma
-7132.581697601763	-574.9849368754947	8801.5	7526.6	Stroma
-7914.176757313129	-1820.5118072360046	8595.2	7529.8	Stroma
-10772.31251956529	-993.7852339256858	8413.1	7529.1	Immune
-13866.505072307482	-1953.9379496860313	8436.1	7530.4	Immune
-22432.140403339847	-988.3363170257958	8681.2	7529.3	Stroma
20212.59249936478	3285.337260182434	8744.6	7534.2	Stroma
-12691.255181371784	-635.6749336068985	8699.7	7533.1	Stroma
-20292.546213492602	-760.779518705385	8693.1	7531.7	Stroma
-15281.591655253698	346.7220626106555	8709.4	7535.2	Stroma
-8350.255446226478	-524.4573526141164	8795.4	7533.7	Stroma
-19172.222821442345	-759.6686988588535	8457.8	7531.6	Stroma
-25415.540704124534	-720.326289546537	8683.3	7533.5	Stroma
-24793.66148642641	-857.5057982354299	8394.5	7536.3	Stroma
-4331.784944878076	-2020.7547975370217	8533.3	7536.8	Stroma
-9008.79855161591	-1958.6061863998416	8614.4	7537.7	Immune
-20582.88453793224	1825.663024358967	8729.1	7535.4	Stroma
6454.732513071707	6094.803029296151	8735.0	7542.0	Stroma
-8828.79424537592	-2141.3539773771586	8431.0	7536.1	Stroma
5413.603711450756	-1230.8984714678722	8409.6	7538.6	Stroma
-22868.459129627467	-1074.8074879124676	8703.6	7540.1	Stroma
-8827.96246725618	-1667.9198552166529	8458.8	7541.6	Stroma
-21849.397602368204	-21.927166572382248	8685.8	7537.4	Stroma
-23143.928162023065	-878.150397608408	8695.5	7539.3	Stroma
-12521.486523129366	-1928.807390159754	8801.6	7539.2	Stroma
-24471.94508260463	-1459.8168641473026	8786.2	7540.5	Stroma
-19713.39863827176	-1016.6120974306159	8501.6	7539.6	Stroma
18916.798391886332	1806.8181322956584	8639.0	7543.1	Stroma
-18141.832437637415	-1808.1380301828833	8623.2	7540.4	Immune
-18224.032697888757	-1577.7633685624032	8427.7	7541.4	Immune
-23897.0654483901	-52.20625823129899	8688.7	7541.1	Stroma
-11868.476411219512	746.0011798554619	8726.5	7545.6	Stroma
8865.271696071926	1358.698748260399	8742.0	7546.9	Stroma
-22059.445575440823	-1024.56704798303	8798.2	7546.2	Stroma
9149.3734275303	1364.17036854846	8595.4	7545.7	Stroma
-16022.743764323266	-1744.6764672755253	8661.9	7543.4	Stroma
-20552.939237902756	1205.8504955156504	8679.8	7545.9	Stroma
-17226.740312009875	-255.93068380145382	8756.2	7544.3	Stroma
-14596.847317108648	234.15119288457845	8772.3	7545.4	Stroma
-2012.7514214681069	-2557.1818937025114	8415.9	7546.1	Immune
3596.172066152765	-1320.8487842872685	8424.5	7547.9	Stroma
-19458.589360634112	-1337.4473895956617	8650.2	7545.5	Immune
4499.23790297813	-1178.4181286134983	8813.6	7544.8	Stroma
16202.159997235001	-1270.779237600675	8691.5	7548.8	Stroma
1928.7333431596417	-2294.587638618355	8626.2	7549.7	Stroma
-6325.462398635693	-846.6136194407593	8783.1	7550.7	Stroma
-15770.66743946684	1396.142230835249	8715.8	7548.7	Stroma
-9147.263429342169	4451.91017471761	8672.5	7552.5	Stroma
6712.586538445117	2462.814015417118	8749.9	7554.9	Stroma
-11921.213602847118	-1795.8170035655303	8663.2	7551.5	Immune
11654.824001352878	-1117.9592699904586	8814.1	7554.6	Stroma
-21392.63773578704	-2162.815910957891	8700.2	7549.8	Stroma
-13366.049327347395	-440.9853912874123	8793.8	7555.0	Stroma
6344.466287338713	-2581.446181051052	8417.1	7556.8	Stroma
-6611.981720563519	-193.83945204947395	8409.1	7554.7	Stroma
5644.621066785563	1298.4930132146774	8774.5	7559.7	Stroma
64794.147057620125	-1924.2972970565386	8496.1	7554.9	Immune
-17590.435614403184	-24.219566050264348	8437.8	7555.4	Stroma
-17557.494903846607	-418.92542609760403	8737.5	7556.8	Stroma
5343.990920702301	-2130.069399682194	8634.5	7558.9	Stroma
25975.25486437604	-1667.4953965900968	8654.9	7557.5	Stroma
15016.890184462187	-1825.1285218374626	8702.7	7557.9	Stroma
1823.958448518686	-1303.1369630364363	8666.2	7560.4	Stroma
-9481.220417023429	1215.4584814381433	8693.8	7561.5	Stroma
-9245.40195807397	-769.7318915767576	8428.4	7559.2	Immune
7079.829883693557	-2191.399100012873	8511.1	7557.4	Stroma
-20719.036835536564	-1498.3268832719796	8485.7	7559.2	Stroma
40661.642095912845	521.7203009242126	8563.6	7561.4	Immune
-15562.548938977787	-1358.823014791879	8644.2	7561.2	Stroma
-23635.377999160402	-1833.3516786378923	8812.7	7563.8	Stroma
403.1070466293313	-2423.4085164590783	8517.8	7561.6	Stroma
